Priority;Billing_Agent_Mail_Domain;Billing_Agent_Keyword;Billing_Agent;CDR_param_1;CDR_param_2;CDR_param_3;RFID_param_1;RFID_param_2;RFID_param_3;RFID_param_4;EVSE_param_1;EVSE_param_2;StartDate_param;Quantity_param;Price_param
1;;Bemo;Bemo;Cpo_Session_Id;Hub_Session_Id;Cdr_Id;Token_Uid;Vehicle_Id;;;Evse_Id;;Session_StartDate;Quantity;Cpo_Bemo_Price
2;;Tevgo;Tevgo;ID CDR;ID Transaction;IDToken;;;;;;;Date/Heure début session;Quantité énergie;Montant HT
3;allego.eu;Allego;Allego;CDR_ID;;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
4;;Hamburger;Hamburg Energie GmbH;CDRID;;;AuthID;OCPPTransactionID;;;ChargingPointID;;StartTime;Quantity;Amount
5;izivia.com;Izivia;Izivia;Id session Gireve;Id charge MbP;;IdConsumption;Id charge MbP;Code Media;;ExternalIdPdC;;Debut charge;Energie (Wh);Prix Conso HT
6;greenflux.com;GreenFlux;GreenFlux Assets B.V.;CDR_ID;;;Authentication_ID;;;;ExternalId;Charge_Point_ID;Start_datetime;Volume;CalculatedCost
7;;Bouygues;Bouygues Energies et Services (Alize Liberte);ID_Gireve;ID_CPO;ID_EMSP;UserID;;;;EVSEID;;DébutSession;Energie;Montant HT
8;ionity.eu;Ionity;Ionity;;;;;;;;;;;;
9;freshmile.com;Freshmile;Freshmile Services;External ref;Reference;;Auth id;;;;Evse emi3;;Start datetime;Consumption (Wh);Price excl. VAT
10;siplec.leclerc;Freshmile;Freshmile Services;External ref;Reference;;Auth id;;;;Evse emi3;;Start datetime;Consumption (Wh);Price excl. VAT
11;sent-via.netsuite.com;Fastned;Fastned;CDR_ID;;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
12;fastnedcharging.com;Fastned;Fastned;CDR_ID;;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
13;fastned.nl;Fastned;Fastned;CDR_ID;;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
14;lastmilesolutions.com;Threeforce;Threeforce BV;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
15;smartlab-gmbh.de;Smartlab;Smartlab Innovations;CDRID;TRANSACTIONID;;DB_ID;TRANSACTIONID;;;EVSEID;;STARTDATETIME;QUANTITY_KWH;BETRAG
16;;Optimile;Optimile;Cdr_Id;;;Authentication_Id;;;;Charge_Point_Id;;Start_Datetime;Volume;Calculated_Cost
17;enovos.eu;Enovos;Enovos;Session Id Gireve;;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Billing Value
18;;EVBox;EVBox;cdr_id;;;authentication_id;;;;chargepoint_id;;start_datetime;volume;calculated_cost
19;road.io;Eflux;E-Flux;CDR_ID;;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
20;virta.global;Liikennevirta;Liikennevirta Oy (VIRTA);session_id_cpo;session_id_gireve;charge_id;rfid;;;;evse_id;;start_time;energy_kwh;EUR_price
21;;Eneco;ENECO eMobility B.V;;;;;;;;;;;;
22;vattenfall.com;Vattenfall;Vattenfall;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
