Cpo_Id;Billing_Agent_Keyword;Last_Update
ES*ARE;Acciona;2024-09-01 00:00:00+00:00
BE*ALL;Allego;2024-12-01 00:00:00+00:00
NL*ALL;Allego;2024-12-01 00:00:00+00:00
DE*ALL;Allego;2024-12-01 00:00:00+00:00
NL*AVI;Avia;2024-11-01 00:00:00+00:00
LI*B38;Awesems;2024-12-01 00:00:00+00:00
AW*E05;Awesems;2024-12-01 00:00:00+00:00
AW*E08;Awesems;2024-12-01 00:00:00+00:00
AW*E61;Awesems;2024-12-01 00:00:00+00:00
LI*B18;Awesems;2024-12-01 00:00:00+00:00
LI*B17;Awesems;2024-12-01 00:00:00+00:00
AW*EA0;Awesems;2024-11-01 00:00:00+00:00
AW*E63;Awesems;2024-11-01 00:00:00+00:00
AL*PIT;Awesems;2024-11-01 00:00:00+00:00
AW*ECE;Awesems;2024-11-01 00:00:00+00:00
AW*EPM;Awesems;2024-11-01 00:00:00+00:00
LI*B10;Awesems;2024-11-01 00:00:00+00:00
LI*B11;Awesems;2024-11-01 00:00:00+00:00
LI*B13;Awesems;2024-11-01 00:00:00+00:00
LI*B14;Awesems;2024-11-01 00:00:00+00:00
LI*B19;Awesems;2024-11-01 00:00:00+00:00
LI*B20;Awesems;2024-11-01 00:00:00+00:00
LI*B21;Awesems;2024-11-01 00:00:00+00:00
LI*B87;Awesems;2024-11-01 00:00:00+00:00
AW*E60;Awesems;2024-11-01 00:00:00+00:00
AW*E64;Awesems;2024-11-01 00:00:00+00:00
FR*TOT;Blink;2024-12-01 00:00:00+00:00
FR*007;Borneco;2024-12-01 00:00:00+00:00
FR*H05;Bouygues;2024-11-01 00:00:00+00:00
FR*V14;Bouygues;2024-11-01 00:00:00+00:00
FR*S11;Bouygues;2024-11-01 00:00:00+00:00
FR*V16;Bouygues;2024-11-01 00:00:00+00:00
FR*Y04;Bouygues;2024-11-01 00:00:00+00:00
FR*594;Bouygues;2024-11-01 00:00:00+00:00
FR*H09;Bouygues;2024-11-01 00:00:00+00:00
FR*H16;Bouygues;2024-11-01 00:00:00+00:00
